ID,Length,Masker,Onset,SNR,Speaker,Target,Raw,Responses,N-Listeners,Counts,Confusion,Consistency,Target-Arpabet,Target-IPA,Target-frequency,Confusion-Arpabet,Confusion-IPA,Confusion-frequency,Phoneme-distance
29470,8954,BAB4,92116,-2.851,s1,current,needless|tedious|tedious|hunt|coloured|tedious|colour|debt|tedious|tedious|colours|current|tedious|tedious,tedious|current|needless|colour|hunt|coloured|colours|debt,14,7 1 1 1 1 1 1 1,tedious,7,! K AH . R AX N T,! k ʌ . ɹ ə n t,4.81,! T IY . D IA S,! t i . d ɪə s,3.22,57
29474,11840,BAB4,504718,-0.345,s1,rarely,rarely|rare|rare|rarer|rarer|spare|rare|bark|stairs|rare|rare|red|rare|rare,rare|rarer|spare|bark|rarely|stairs|red,14,7 2 1 1 1 1 1,rare,7,! R EA . L IY,! ɹ ɛə . l i,4.13,! R EA,! ɹ ɛə,4.68,14
29493,15360,BMN3,281678,-6.495,s3,forced,force|force|thoughts|force|fort|horse|forced|force|force|force|forced|force|caused|force|force,force|forced|horse|caused|thoughts|fort,15,9 2 1 1 1 1,force,9,! F AO S T,! f ɔ s t,4.64,! F AO S,! f ɔ s,4.96,7
29526,8160,BMN3,911153,-6.006,s4,car,far|s|far|far|bar|car|star|bizarre|car|harsh|far|car|fast|far|far|far,far|car|bar|harsh|fast|s|star|bizarre,16,7 3 1 1 1 1 1 1,far,7,! K AA,! k ɑ,5.44,! F AA,! f ɑ,5.61,10
29527,10400,BMN3,774099,-3.501,s4,figure,bigger|bigger|figure|bigger|bigger|figure|bigger|bigger|bigger|bicker|figure|bigger|figure|bigger|figure|bicker,bigger|figure|bicker,16,9 5 2,bigger,9,! F IH . G AX,! f ɪ . ɡ ə,4.87,! B IH . G AX,! b ɪ . ɡ ə,5.02,10
29532,12480,BMN3,457585,-6.576,s4,sticky,second|city|city|city|slit|sitting|city|sticky|silky|sitting|sticky|city|city|safely|city,city|sitting|sticky|slit|second|silky|safely,15,7 2 2 1 1 1 1,city,7,! S T IH . K IY,! s t ɪ . k i,4.27,! S IH . T IY,! s ɪ . t i,5.4,17
29540,9120,BMN3,243365,-4.264,s4,war,war|wall|ball|walk|wall|wall|wall|wall|bore|wall|wall|wall|warm|ball|ball|war,wall|ball|war|walk|warm|bore,16,8 3 2 1 1 1,wall,8,! W AO,! w ɔ,5.34,! W AO L,! w ɔ l,5.05,7
29549,10240,BMN3,60394,-3.927,s4,quite,quite|white|wine|white|whine|twine|wind|white|white|quiet|quiet|white|quite|quite|white|white,white|quite|whine|quiet|twine|wind,16,7 3 2 2 1 1,white,7,! K W AY T,! k w aɪ t,5.92,! W AY T,! w aɪ t,5.25,7
29557,10720,BMN3,88950,-6.207,s4,subtly,subtle|supper|subtlety|subtle|suppers|subtly|subtle|settle|subtle|subtle|too|supper|certain|suffer|subtle,subtle|supper|subtly|suppers|certain|subtlety|settle|too|suffer,15,6 2 1 1 1 1 1 1 1,subtle,6,! S AH T . L IY,! s ʌ t . l i,2.97,! S AH . T L,! s ʌ . t l,3.9,7
29566,14830,SSN,111442,-5.116,s4,flowing,flowing|slowed|plumbing|glowing|glowing|glowing|slowly|blowing|flourish|glowing|glowing|flowing|glowing|glowing,glowing|flowing|blowing|slowed|slowly|plumbing|flourish,14,7 2 1 1 1 1 1,glowing,7,! F L OW . IH NG,! f l oʊ . ɪ ŋ,4.02,! G L OW . IH NG,! ɡ l oʊ . ɪ ŋ,3.55,10
